product_id,product_name
189010386,Budweiser American Lager Beer in Bottles - 6 - 12 Fl. Oz.
960088305,Budweiser American Lager Beer in Can - 25 Fl. Oz.
189010279,Budweiser American Lager Beer in Cans - 12 - 12 Fl. Oz.
960464920,Budweiser American Lager Beer in Cans - 12 - 16 Fl. Oz.
189010167,Budweiser American Lager Beer in Cans - 18 - 12 Fl. Oz.
289012073,Budweiser American Lager Beer in Cans - 24 - 12 Fl. Oz.
960173956,Budweiser American Lager Beer in Cans - 24 - 16 Fl. Oz.
189012036,Budweiser American Lager Beer in Cans - 30 - 12 Fl. Oz.
189010365,Budweiser American Lager Beer in Cans - 6 - 12 Fl. Oz.
189010594,Budweiser American Lager Beer in Cans - 6 - 16 Fl. Oz.
29901-3,Budweiser American Lager Beer-1/2 Keg
29900-3,Budweiser American Lager Beer-1/4 Keg
29903-3,Budweiser American Lager Beer-1/6 Keg
29195-2,Budweiser American Lager Beer-12-16ozAlmBtl
29088-2,Budweiser American Lager Beer-12-7.5oz cans
29115-2,Budweiser American Lager Beer-12pk-10oz Cans
29127-2,Budweiser American Lager Beer-12pk-12oz Btls
29122-2,Budweiser American Lager Beer-12pk-12oz Cans
29500-2,Budweiser American Lager Beer-12pk-16oz Cans
29151-3,Budweiser American Lager Beer-15-16oz AlmBtls
108805143-2,Budweiser American Lager Beer-15pk-12oz Cans
29135-3,Budweiser American Lager Beer-18-12oz Btls
29119-3,Budweiser American Lager Beer-18-12oz Cans
29158-3,Budweiser American Lager Beer-18-16oz Cans
29136-3,Budweiser American Lager Beer-20-12oz Btls
29120-3,Budweiser American Lager Beer-20-12oz Cans
29151198-3,Budweiser American Lager Beer-20-16ozAlmBtl
29110-3,Budweiser American Lager Beer-24-10oz Can
29128-3,Budweiser American Lager Beer-24-12oz Btls
29123-3,Budweiser American Lager Beer-24-12oz Cans
29171-3,Budweiser American Lager Beer-24-16oz Cans
29245-2,Budweiser American Lager Beer-24oz Can - 3 pack
29224-1,Budweiser American Lager Beer-25oz Can
29124-3,Budweiser American Lager Beer-30-12oz Cans
29125-3,Budweiser American Lager Beer-36-12oz Cans
29126-2,Budweiser American Lager Beer-6pk-12oz Btls
29163-2,Budweiser American Lager Beer-6pk-16oz Cans
29861-2,Budweiser American Lager Beer-8pk-16oz AlmBtls
291904-2,Budweiser American Lager Beer-8pk-16oz Cans
29216-2,Budweiser American Lager Beer-Pack
39093370472,Budweiser American Lager Bottles
15233780978,Budweiser American Lager Can
30953732784,Budweiser American Lager Can
9076923376,Budweiser American Lager Cans
cd074c07-5387-5701-afa3-dc2f9ef9d8f7,Budweiser American Style Lager Beer (12 x 12 fl oz)
259d685e-54d4-5ca5-8ef7-7930b1d28e6d,Budweiser American Style Lager Beer (25 fl oz)
60472616-a33d-578a-bc11-7462b9b4e9e7,Budweiser American-Style Beer (25 fl oz)
baaf462b-c082-5454-85da-178eb95ee2da,Budweiser American-Style Lager Beer (15 x 12 fl oz)
77f8da48-dd4c-5d49-a3cd-b3795042ac1c,Budweiser American-Style Lager Beer (18 x 12 fl oz)
189010719,Budweiser Beer Bottle - 40 Fl. Oz.
45118,Budweiser Beer Bottles
960144552,Budweiser Beer Bottles - 12-16 Fl. Oz.
95169,Budweiser Beer Bottles - 24 x 12 fl oz
16306364,Budweiser Beer Cans - 12 x 12 fl oz
95172,Budweiser Beer Cans - 24 x 12 fl oz
93216712,Budweiser Beer Holiday Pint Glasses 532 ml
